source,target,dist,street_name
12618858588,3163306067,91.42,Naamsesteenweg
12618858588,10100559978,29.71,Naamsesteenweg
19791964,19791966,19.8,Unnamed road
19791964,3468219978,12.18,Unnamed road
19791964,984207418,6.74,Unnamed road
19791966,2632955417,2.21,Unnamed road
19791966,19791964,19.8,Unnamed road
19791966,2632955421,27.45,Unnamed road
19791962,2632955514,9.51,Unnamed road
19791962,3463516856,31.66,Unnamed road
19791962,19791994,14.42,Unnamed road
19791962,7680610910,15.82,Unnamed road
19791975,2632955491,21.47,Unnamed road
19791975,8440177815,8.53,Unnamed road
19791975,3468219980,11.29,Unnamed road
8474820714,2633552179,22.34,Unnamed road
8474820714,13155784568,3.23,Unnamed road
8474820714,8477241243,2.46,Unnamed road
8474820715,13155784577,2.18,Unnamed road
8474820716,13155784586,0.19,Unnamed road
8474820716,18484793,29.17,Unnamed road
19791979,934912157,19.23,Unnamed road
19791979,934912159,9.91,Unnamed road
6242173038,1150602312,29.21,Kasteelpark Arenberg
6242173038,6242142768,0.97,Unnamed road
6242173038,7167916484,4.97,Unnamed road
19791986,12907556908,7.77,Unnamed road
19791986,3467450713,30.71,Kapeldreef
19791988,8455210174,6.4,Unnamed road
19791988,12907556926,15.09,Unnamed road
19791988,12907556916,4.18,Unnamed road
19791990,12913164029,4.33,Unnamed road
19791990,19791994,17.31,Unnamed road
19791990,12913164003,6.08,Unnamed road
19791993,3463516863,2.17,Unnamed road
19791993,938635214,25.22,Unnamed road
19791994,12913164030,4.16,Unnamed road
19791994,19791962,14.42,Unnamed road
19791994,19791990,17.31,Unnamed road
19791995,3463516867,1.62,Unnamed road
19791995,938635213,26.03,Unnamed road
5515935884,11862791917,3.22,Broekstraat
11883118745,12899155917,3.71,Unnamed road
11883118745,12899155916,4.02,Unnamed road
11883118745,13152665529,30.54,Unnamed road
11883118745,615400664,3.2,Unnamed road
11883118746,988730618,3.4,Unnamed road
11883118746,1096512190,49.52,Unnamed road
11883118746,12899155915,3.35,Unnamed road
11883118746,13152665527,1.51,Unnamed road
11883118747,5435850779,32.8,Unnamed road
11883118747,1108205861,3.11,Unnamed road
11883118747,13152665526,1.58,Unnamed road
11883118747,13152665525,1.68,Unnamed road
6781114975,6781114973,7.82,Unnamed road
6781114975,6781114974,15.64,Unnamed road
9139683509,21178577,7.08,Studentenwijk Arenberg
9139683509,7877313301,29.57,Studentenwijk Arenberg
9139683509,7877313305,16.36,Unnamed road
9139683510,9769378057,2.55,Unnamed road
9139683510,126686857,7.88,Unnamed road
6099337411,13207287028,11.03,Unnamed road
6099337411,1067755335,96.13,Unnamed road
6099337412,13207287028,5.18,Unnamed road
6099337412,9996971968,15.55,Huttelaan
6099337412,11118327721,18.64,Huttelaan
6099337421,1067755335,9.84,Unnamed road
6099337421,845332214,31.91,Unnamed road
6099337421,6099337422,12.81,Unnamed road
6099337422,6099337421,12.81,Unnamed road
6099337422,6099337423,32.18,Unnamed road
6099337423,6099337424,10.27,Unnamed road
6099337423,6099337422,32.18,Unnamed road
6099337424,6099337428,5.76,Unnamed road
6099337424,6099337423,10.27,Unnamed road
6099337425,6099337426,48.35,Unnamed road
6099337425,6099337428,12.95,Unnamed road
6099337426,6099568318,6.09,Unnamed road
6099337426,6099337425,48.35,Unnamed road
6099337427,6099568319,38.68,Unnamed road
6099337427,6099568318,7.1,Unnamed road
6099337428,6099337425,12.95,Unnamed road
6099337428,6099337424,5.76,Unnamed road
6099337428,6099568319,10.13,Unnamed road
7835648214,7835648215,8.92,Unnamed road
7835648215,7835707457,9.67,Bloemenlaan
7835648215,7843017575,5.78,Bloemenlaan
7835648215,7835648214,8.92,Unnamed road
11405918546,9680087982,23.33,Tervuursevest
11405918547,2634195299,9.02,Voerviaduct
11405918548,11405918550,17.08,Voerviaduct
11405918549,692826792,21.44,Voerviaduct
11405918550,1026364371,17.34,Voerviaduct
11405918552,9680109671,2.95,Unnamed road
11405918552,1026364719,2.96,Unnamed road
11405918553,1195682776,12.05,Unnamed road
11405918553,9680109676,2.71,Unnamed road
11405918555,2634195262,13.98,Tervuursevest
11405918556,1026364308,14.82,Unnamed road
11405918556,11405918557,9.12,Unnamed road
11405918557,11405918556,9.12,Unnamed road
11405918557,16933620,5.09,Unnamed road
1029243282,8455157268,12.68,Naamsestraat
1029243282,1097294448,6.55,Naamsestraat
1029243282,2699045113,2.25,Parkstraat
1057063316,836634434,332.2,Damendreef
1057063316,87928629,11.34,Damendreef
611844503,249603974,11.17,Unnamed road
611844503,1501169382,17.42,Unnamed road
12956008870,1096513722,0.66,Weldadigheidsstraat
12956008870,12956008871,12.84,Unnamed road
12956008871,9680088015,9.69,Unnamed road
12956008871,8306269525,3.52,Unnamed road
12956008871,12956008870,12.84,Unnamed road
5431984571,5429571038,0.77,Unnamed road
5431984571,5429571034,3.22,Unnamed road
915374559,249604791,7.33,Unnamed road
915374559,3814510831,12.74,Unnamed road
1088225775,12147700284,5.96,Naamsesteenweg
1088225775,100384845,2.81,Naamsesteenweg
1088225775,1088225796,66.33,Unnamed road
1088225780,13207405612,21.71,Goudfazantenlaan
1088225780,2897881435,4.75,Goudfazantenlaan
1088225780,13207287150,4.5,Unnamed road
162955766,259179809,57.19,Unnamed road
162955766,259179748,30.7,Unnamed road
1088225795,1088225800,11.67,Unnamed road
1088225796,1088225775,66.33,Unnamed road
1088225800,13207287150,44.12,Unnamed road
1088225800,1088225795,11.67,Unnamed road
1296597535,5605570084,5.9,Kasteelpark Arenberg
1296597535,5605570083,12.74,Kasteelpark Arenberg
148603427,148603429,19.83,Unnamed road
148603427,1020639604,169.51,Unnamed road
148603429,10980732769,9.38,Langestaart
148603429,259276339,9.61,Unnamed road
148603429,148603427,19.83,Unnamed road
148603430,148605260,70.21,Unnamed road
148603430,10980732769,264.57,Langestaart
148603430,13310694186,255.28,Langestaart
135856686,5435590946,75.24,Zwaluwenlaan
135856686,2632175394,70.28,Mezenlaan
9922052695,16933622,0.78,Unnamed road
9922052695,1195682247,10.06,Unnamed road
3079045734,3079045739,3.18,Unnamed road
3079045739,5431678842,20.23,Unnamed road
3079045739,3079045734,3.18,Unnamed road
11083514476,11083514478,4.86,Sint-Quintensberg
11083514476,11083514477,5.18,Sint-Quintensberg
11083514477,11083514476,5.18,Sint-Quintensberg
11083514477,19499504,7.03,Sint-Quintensberg
11083514478,11083514479,8.98,Sint-Quintensberg
11083514478,11083514476,4.86,Sint-Quintensberg
11083514479,6139194083,4.73,Sint-Quintensberg
11083514479,11083514478,8.98,Sint-Quintensberg
3079045741,5431678842,4.02,Unnamed road
3079045741,8851214267,45.25,Naamsesteenweg
3079045741,5428987280,9.8,Naamsesteenweg
3060597377,7970449020,26.28,Hendrik Consciencestraat
3060597377,16526540,8.99,Hendrik Consciencestraat
3060597378,8286860252,11.34,Van 't Sestichstraat
3060597378,16526540,7.61,Van 't Sestichstraat
9874047620,9874047621,5.0,Unnamed road
9874047620,9874034413,12.37,Unnamed road
9874047621,9874047620,5.0,Unnamed road
7580353173,7580353174,3.77,Unnamed road
7580353173,8440238019,4.64,Unnamed road
7580353174,8440238018,4.97,Unnamed road
7580353174,7580353173,3.77,Unnamed road
9798812316,9798822717,5.89,Unnamed road
