source,target,dist,street_name
1132625443,1132625495,3.81,Unnamed road
1132625443,1132625492,4.02,Unnamed road
1132625495,1132625469,3.95,Unnamed road
1132625495,1132625443,3.81,Unnamed road
1132625418,1132625469,5.77,Unnamed road
1132625517,3060525656,6.65,Unnamed road
1132625517,3060525655,1.5,Unnamed road
1132625492,1132625443,4.02,Unnamed road
1132625492,1132625530,10.66,Unnamed road
3060525655,1132625517,1.5,Unnamed road
3060525656,1132625530,5.42,Unnamed road
3060525656,1132625517,6.65,Unnamed road
3060525656,3060525657,1.41,Unnamed road
3060525657,3060525656,1.41,Unnamed road
1132625530,1132625492,10.66,Unnamed road
1132625530,3060525656,5.42,Unnamed road
1132625469,1132625418,5.77,Unnamed road
1132625469,1132625495,3.95,Unnamed road
1132625517,1132625469,29.70,Unnamed road
1132625469,1132625517,29.70,Unnamed road
