source,target,dist,street_name
1501169652,1501169657,8.53,Unnamed road
1501169652,1501169633,8.16,Unnamed road
5489418244,7896477303,37.8,Stanislas De Rijcklaan
5435850758,2094160208,8.16,Unnamed road
5435850758,5825880201,4.29,Unnamed road
5435850759,2094160208,7.77,Unnamed road
5435850759,5435850763,6.72,Unnamed road
1300561928,13179752469,12.01,Naamsestraat
1300561928,6139193906,16.47,Naamsestraat
1501169653,1501169655,3.36,Unnamed road
5435850763,10807799733,11.43,Unnamed road
5435850763,21091239,4.2,Unnamed road
5435850763,5435850759,6.72,Unnamed road
8507715603,8507715582,1.81,Unnamed road
8507715603,1088372864,14.01,Unnamed road
1501169655,1501169653,3.36,Unnamed road
1501169655,1501169654,4.93,Unnamed road
13179752469,13135941194,7.73,Verkortingstraat
13179752469,16424227,10.8,Naamsestraat
13179752469,1300561928,12.01,Naamsestraat
7579938947,1399617285,0.98,Volhardingslaan
7579938947,7588443347,13.05,Volhardingslaan
7579938947,7876690093,11.62,Unnamed road
8507715608,8506448806,3.47,Unnamed road
8507715608,8507715612,0.93,Unnamed road
11881543706,9866029986,2.75,Unnamed road
11881543706,9866029984,6.46,Unnamed road
8507715611,8507715612,4.0,Unnamed road
8507715611,1088372885,0.81,Unnamed road
1635684380,615421597,1.26,Unnamed road
8507715612,8507715608,0.93,Unnamed road
8507715612,8507715611,4.0,Unnamed road
8507715614,1088372885,2.02,Unnamed road
8507715614,8506448813,0.86,Unnamed road
8507715614,8507715613,16.23,Unnamed road
8507715613,8507715614,16.23,Unnamed road
12063756320,12063756321,12.43,Unnamed road
12063756320,1088372815,17.55,Unnamed road
12063756321,12063756322,53.06,Unnamed road
12063756321,12063756320,12.43,Unnamed road
12063756322,12063756321,53.06,Unnamed road
12063756322,13523804397,13.82,Unnamed road
12063756323,5437688586,5.06,Naamsesteenweg
12063756323,5460144337,6.13,Naamsesteenweg
12063756323,13523804397,6.18,Unnamed road
203237412,12974725584,2.18,Erasme Ruelenspark
