source,target,dist,street_name
1132625418,3060530261,8.07,Erasme Ruelenspark
1132625418,12974725586,4.95,Erasme Ruelenspark
1132625418,1132625469,5.77,Unnamed road
1132625428,615421598,31.83,Erasme Ruelenspark
1132625429,1098529543,10.96,Erasme Ruelenspark
1132625429,1132625471,14.41,Erasme Ruelenspark
1132625443,1132625495,3.81,Unnamed road
1132625443,1132625492,4.02,Unnamed road
203237412,12974725584,2.18,Erasme Ruelenspark
203237412,12974725585,1.8,Erasme Ruelenspark
1132625444,1132625505,14.74,Unnamed road
1132625444,1352416330,4.55,Unnamed road
1639562279,3058147549,7.25,Unnamed road
5437074482,12974725589,1.7,Erasme Ruelenspark
5437074482,12974725590,1.86,Erasme Ruelenspark
5437074483,12974725586,1.76,Erasme Ruelenspark
5437074483,12974725587,1.69,Erasme Ruelenspark
1132625469,1132625418,5.77,Unnamed road
1132625469,1132625495,3.95,Unnamed road
1132625471,1132625505,4.91,Unnamed road
1132625471,1132625429,14.41,Erasme Ruelenspark
1132625471,1132625527,21.3,Erasme Ruelenspark
1352416330,1088372857,14.47,Unnamed road
1352416330,1132625444,4.55,Unnamed road
1352416330,3056518849,1.45,Unnamed road
1352416334,324434865,8.07,Unnamed road
1352416334,3058147540,2.93,Unnamed road
11865635920,12974725585,2.31,Erasme Ruelenspark
11865635920,249438689,5.85,Erasme Ruelenspark
11865635921,1132625527,4.52,Erasme Ruelenspark
11865635921,324434864,5.03,Erasme Ruelenspark
1352416337,324434869,4.64,Unnamed road
1132625492,1132625443,4.02,Unnamed road
1132625492,1132625530,10.66,Unnamed road
3060530261,249438690,3.69,Erasme Ruelenspark
3060530261,1132625418,8.07,Erasme Ruelenspark
3060530261,3060530262,13.47,Unnamed road
3060530262,3060530261,13.47,Unnamed road
1132625495,1132625469,3.95,Unnamed road
1132625495,1132625443,3.81,Unnamed road
1226107480,1226107497,3.94,Unnamed road
1226107480,615421599,9.43,Unnamed road
3060525655,1132625517,1.5,Unnamed road
3060525658,3060525661,14.88,Unnamed road
3060525658,1088372867,6.84,Unnamed road
3060525658,3060525659,1.8,Unnamed road
3060525656,1132625530,5.42,Unnamed road
3060525656,1132625517,6.65,Unnamed road
3060525656,3060525657,1.41,Unnamed road
3060525657,3060525656,1.41,Unnamed road
3060525661,1088372836,5.69,Unnamed road
3060525661,3060525658,14.88,Unnamed road
3060525661,1088372882,10.2,Unnamed road
8710221916,1098529545,12.78,Unnamed road
8710221916,1098517477,14.16,Unnamed road
8710221916,8710221915,12.32,Unnamed road
8710221915,8710221916,12.32,Unnamed road
3060525659,3060525658,1.8,Unnamed road
1132625505,1132625471,4.91,Unnamed road
1132625505,3056518846,29.88,Unnamed road
1132625505,1132625444,14.74,Unnamed road
3060525665,1088372843,5.8,Unnamed road
1088372836,1088372843,14.53,Unnamed road
1088372836,1088372882,8.4,Unnamed road
1088372836,3060525661,5.69,Unnamed road
1226107497,615421597,23.72,Unnamed road
1226107497,1226107480,3.94,Unnamed road
1088372843,3060525665,5.8,Unnamed road
1088372843,1088372836,14.53,Unnamed road
1132625517,3060525656,6.65,Unnamed road
1132625517,3060525655,1.5,Unnamed road
1132625527,11865635921,4.52,Erasme Ruelenspark
1132625527,1132625471,21.3,Erasme Ruelenspark
1132625528,1132625407,33.72,Unnamed road
1132625528,3070613948,1.48,Unnamed road
1088372857,3058147546,4.61,Unnamed road
1088372857,1352416330,14.47,Unnamed road
1132625530,1132625492,10.66,Unnamed road
1132625530,3060525656,5.42,Unnamed road
1088372867,3060525658,6.84,Unnamed road
1088372882,1088372836,8.4,Unnamed road
1088372882,1088372913,27.45,Unnamed road
1088372882,3060525661,10.2,Unnamed road
615421594,3056167887,2.88,Unnamed road
615421594,615421599,12.65,Unnamed road
615421594,1132625407,12.86,Unnamed road
1088372891,324434866,5.08,Unnamed road
1088372891,3058147547,1.01,Unnamed road
615421597,615421598,22.2,Unnamed road
615421597,1226107497,23.72,Unnamed road
615421598,615421597,22.2,Unnamed road
615421598,1132625428,31.83,Erasme Ruelenspark
615421598,1098529543,7.96,Erasme Ruelenspark
615421599,1226107480,9.43,Unnamed road
615421599,615421594,12.65,Unnamed road
1088372913,16571284,12.59,Erasme Ruelenspark
1088372913,1098529539,11.17,Erasme Ruelenspark
1088372913,1088372882,27.45,Unnamed road
3056518843,3056518844,1.76,Unnamed road
3056518844,1098529543,22.93,Unnamed road
3056518844,1098529549,6.05,Unnamed road
3056518844,3056518843,1.76,Unnamed road
3056518845,615422306,1.95,Unnamed road
3056518846,1132625505,29.88,Unnamed road
3056518846,615422306,7.86,Unnamed road
3056518846,3056518847,2.02,Unnamed road
3056518847,3056518846,2.02,Unnamed road
3056518849,1352416330,1.45,Unnamed road
3058147539,3058147540,1.4,Unnamed road
3058147540,1352416334,2.93,Unnamed road
3058147540,3058147542,7.38,Unnamed road
3058147540,3058147539,1.4,Unnamed road
3058147541,3058147542,1.4,Unnamed road
3058147542,3058147540,7.38,Unnamed road
3058147542,3058147544,7.4,Unnamed road
3058147542,3058147541,1.4,Unnamed road
3058147543,3058147544,1.4,Unnamed road
3058147544,3058147542,7.4,Unnamed road
3058147544,3058147546,6.96,Unnamed road
3058147544,3058147543,1.4,Unnamed road
3058147546,3058147544,6.96,Unnamed road
3058147546,1088372857,4.61,Unnamed road
3058147547,1088372891,1.01,Unnamed road
3058147549,3060525912,2.09,Unnamed road
